rule;support_2016Q1;support_2017Q1;support_2018Q1;support_2019Q1;support_2020Q1;support_2021Q1;support_2022Q1;support_2016Q2;support_2017Q2;support_2018Q2;support_2019Q2;support_2020Q2;support_2021Q2;support_2022Q2;support_2016Q3;support_2017Q3;support_2018Q3;support_2019Q3;support_2020Q3;support_2021Q3;support_2022Q3;support_2016Q4;support_2017Q4;support_2018Q4;support_2019Q4;support_2020Q4;support_2021Q4;support_2022Q4;lift_2016Q1;lift_2017Q1;lift_2018Q1;lift_2019Q1;lift_2020Q1;lift_2021Q1;lift_2022Q1;lift_2016Q2;lift_2017Q2;lift_2018Q2;lift_2019Q2;lift_2020Q2;lift_2021Q2;lift_2022Q2;lift_2016Q3;lift_2017Q3;lift_2018Q3;lift_2019Q3;lift_2020Q3;lift_2021Q3;lift_2022Q3;lift_2016Q4;lift_2017Q4;lift_2018Q4;lift_2019Q4;lift_2020Q4;lift_2021Q4;lift_2022Q4;disclosure;financial-reports;information-about-bank;annual-reports;covered-bonds;root-financial-indicators;information-for-shareholders;financial-statement;information-for-investors-except-shareholders
covered-bonds, information-about-bank:annual-reports;0,009246497;0,008669046;0,006520695;0,006820929;;;;0,007487667;0,011558627;0,005977246;0,006052554;;;;;0,012619669;0,008179481;0,004608737;;;;0,011080009;0,010422331;0,008418891;0,001836684;;;;5,089268597;3,867616758;4,835177312;4,645501625;;;;4,576030048;3,550503773;4,473726465;5,056869158;;;;;4,291976757;4,901874145;4,822420771;;;;4,730002032;6,518998397;4,59772497;4,56676776;;;;1;0;1;1;1;0;0;0;0
financial-reports, covered-bonds, root-financial-indicators:annual-reports;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,341309824;;;;;;;;;;;;;0;1;0;1;1;1;0;0;0
financial-reports, annual-reports, financial-statement, root-financial-indicators, information-about-bank:information-for-shareholders;;;;;;;;;;;;;;;;;;;;;;0,000116632;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,923611111;;;;;;;1;1;1;1;0;1;1;1;0
information-for-shareholders, financial-reports, covered-bonds:annual-reports, information-about-bank, root-financial-indicators;;;;;;;;;;;;;;;;;;;;;;0,000349895;;;;;;;;;;;;;;;;;;;;;;;;;;;;389,7272727;;;;;;;1;1;1;1;1;1;1;0;0
information-for-shareholders, covered-bonds, annual-reports:financial-reports, information-about-bank, root-financial-indicators;;0,000611933;;;;;;0,000352361;;;;;;;;;;;;;;;;;;;;;;78,44;;;;;;127,9098592;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;0;0
information-for-investors-except-shareholders, annual-reports, financial-statement:information-about-bank;;;;;;;;;;;;0,000240639;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,623382711;;;;;;;;;;;;;;;;;1;0;1;1;0;0;0;1;1
information-for-shareholders, covered-bonds, information-about-bank:financial-reports, root-financial-indicators;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;0,000181258;;;;;;22,43091787;28,92330383;;;;;;43,32824427;;;;;;;;40,31578947;;;;;;;59,64324324;;;;;;1;1;1;0;1;1;1;0;0
covered-bonds, financial-statement:financial-reports;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,46130501;;;;;;;;;;;;;1;1;0;0;1;0;0;1;0
information-for-shareholders, financial-statement, information-about-bank:financial-reports;;;;;;;;;;;;;;;;;;;0,000171374;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,7253949;;;;;;;;;;1;1;1;0;0;0;1;1;0
information-for-shareholders, financial-reports, covered-bonds:information-about-bank;;;;;;;;;;;;;;;;;;;;;;0,000349895;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,085623936;;;;;;;1;1;1;0;1;0;1;0;0
